,motivatedforjob,motivatedforadvancement,motivatedforitcert,Race/ethnicity,Gender,Age ,degreeprogram,firstchoiceorchanged
0,Yes,Yes,No,White/Caucasian,Man,19-20,Computer Science,First Choice
1,Yes,Yes,Yes,White/Caucasian,Man,25-34,Computer Science,First Choice
2,,,,White/Caucasian,Woman,19-20,Liberal Arts,
3,Yes,No,No,Asian,Man,18 and younger,Computer Science,First Choice
4,Yes,Yes,Yes,White/Caucasian,Man,25-34,Information Technology,First Choice
5,Yes,Yes,No,White/Caucasian,Man,19-20,Computer Science,First Choice
6,Yes,No,Yes,White/Caucasian,Man,19-20,Information Technology,Business
7,,,,Choose not to reply,Prefer not to say,18 and younger,Academy Student,
8,Yes,Yes,Yes,Asian,Man,19-20,Computer Science,First Choice
9,Yes,No,No,White/Caucasian,Man,18 and younger,Computer Science,First Choice
10,Yes,No,No,White/Caucasian,Man,18 and younger,Computer Science,First Choice
11,,,,Hispanic or Latino;White/Caucasian,Woman,18 and younger,Business Administration ,
12,,,,White/Caucasian,Man,21-24,Liberal arts,
13,,,,White/Caucasian,I do not identify,18 and younger,I am still a senior in high school (Morris County School of Technology) and my school offers a program that allows you to attend a CCM class or classes,
14,,,,White/Caucasian,Man,19-20,Music Recording ,
15,Yes,Yes,Yes,Hispanic or Latino,Man,25-34,Information Technology,Nursing
16,Yes,No,Yes,White/Caucasian,Man,19-20,Computer Science,LIberal Arts
17,Yes,No,No,Asian,Man,19-20,Computer Science,First Choice
18,Yes,Yes,No,Hispanic or Latino,Man,19-20,Computer Science,Science
19,Yes,Yes,Yes,Asian,Man,18 and younger,Computer Science,First Choice
20,,,,Hispanic or Latino,Man,19-20,Bio ,
21,Yes,Yes,No,White/Caucasian,Man,21-24,Computer Science,First Choice
22,Yes,No,No,Hispanic or Latino,Man,19-20,Computer Science,First Choice
23,Yes,Yes,No,Asian,Man,18 and younger,Computer Science,First Choice
24,,,,Hispanic or Latino,Man,21-24,Liberal Arts,
25,,,,White/Caucasian,Man,18 and younger,Mechanical engineering technology,
26,,,,White/Caucasian,Man,21-24,Mathematics,
27,,,,Hispanic or Latino;White/Caucasian,Man,19-20,Mechanical Engineering,
28,,,,Choose not to reply,Prefer not to say,18 and younger,Electronics Engineering,
29,,,,White/Caucasian,Man,25-34,Mechanical Engineering ,
30,Yes,Yes,No,White/Caucasian,Man,18 and younger,CIS Game Development Option,First Choice
31,No,No,Yes,White/Caucasian,Man,19-20,Information Technology,did not swap
